county,year,month,wildfire_acres
Kern,2002.0,6.0,3863.9306999999994
Kern,2002.0,7.0,17.722430000000003
Kern,2003.0,6.0,4171.370129999998
Kern,2003.0,7.0,6007.791000000003
Kern,2003.0,8.0,64.20771000000005
Kern,2003.0,10.0,14.81134
Kern,2004.0,5.0,60.05212
Kern,2004.0,6.0,566.6520999999997
Kern,2004.0,7.0,1170.6910499999994
Kern,2004.0,9.0,290.02819999999997
Kern,2005.0,5.0,680.5812000000002
Kern,2005.0,6.0,1168.0876807698185
Kern,2005.0,7.0,5055.9465000000055
Kern,2005.0,8.0,726.4603099999999
Kern,2005.0,9.0,3631.358643567161
Kern,2005.0,11.0,659.1055999999998
Kern,2006.0,5.0,927.7051648134301
Kern,2006.0,6.0,1315.3263000000002
Kern,2006.0,7.0,3996.430372521661
Kern,2006.0,8.0,5543.393577833014
Kern,2006.0,12.0,4326.526800000007
Kern,2007.0,4.0,1348.9319999999998
Kern,2007.0,5.0,567.4566000000007
Kern,2007.0,6.0,14160.316949999997
Kern,2007.0,7.0,840.5583000000003
Kern,2007.0,8.0,149.88669999999996
Kern,2007.0,10.0,13.432589999999998
Kern,2007.0,,847.5703100000002
Kern,2008.0,4.0,23.679940000000002
Kern,2008.0,5.0,149.26316000000014
Kern,2008.0,6.0,38279.2287399998
Kern,2008.0,7.0,89.24691999999996
Kern,2008.0,9.0,56.53485000000006
Kern,2009.0,4.0,14.439050000000003
Kern,2009.0,5.0,671.2295999999999
Kern,2009.0,6.0,1329.1611200000007
Kern,2009.0,7.0,304.4033799999995
Kern,2009.0,8.0,195.27335999999994
Kern,2009.0,9.0,15.600180000000007
Kern,2009.0,10.0,248.4807700000001
Kern,2010.0,5.0,445.8415589999999
Kern,2010.0,6.0,44.94877999999996
Kern,2010.0,7.0,8379.909470139448
Kern,2010.0,8.0,1853.0170699999994
Kern,2010.0,9.0,9539.922599999994
Kern,2011.0,5.0,1121.3730000000007
Kern,2011.0,6.0,7604.210550268182
Kern,2011.0,7.0,312.36053999999984
Kern,2011.0,8.0,1956.2548199999972
Kern,2011.0,9.0,93449.05924999992
Kern,2011.0,10.0,51.97479
Kern,2012.0,1.0,15.109861000000002
Kern,2012.0,2.0,24.08667242
Kern,2012.0,3.0,26.295744000000006
Kern,2012.0,4.0,18.337559399999993
Kern,2012.0,5.0,108.85838099999995
Kern,2012.0,6.0,1120.4114125999997
Kern,2012.0,7.0,1963.2100361000018
Kern,2012.0,8.0,13845.163343999993
Kern,2012.0,9.0,0.8748451
Kern,2012.0,10.0,2.454007
Kern,2012.0,11.0,4.333495000000002
Kern,2013.0,3.0,77.83088999999993
Kern,2013.0,4.0,18.690102300000007
Kern,2013.0,5.0,1649.5432105703035
Kern,2013.0,6.0,6.732807999999997
Kern,2013.0,7.0,1347.085094686487
Kern,2013.0,8.0,835.2317279999996
Kern,2013.0,9.0,444.18321699999996
Kern,2013.0,10.0,7.346939000000002
Kern,2014.0,4.0,223.7796999999996
Kern,2014.0,6.0,2546.165000000001
Kern,2014.0,7.0,1748.4681499999983
Kern,2014.0,8.0,4011.565760000001
Kern,2015.0,4.0,8.095657
Kern,2015.0,5.0,7.4692370000000015
Kern,2015.0,7.0,94.41840999999998
Kern,2015.0,8.0,29.760989999999996
Kern,2016.0,4.0,68.04817099999994
Kern,2016.0,5.0,72.18897820000004
Kern,2016.0,6.0,48105.750092000024
Kern,2016.0,7.0,1920.7531941999964
Kern,2016.0,8.0,15184.563205434792
Kern,2016.0,10.0,1.1729810000000012
